# timestamp target input output err de se
31100 33.613525 0.720000 1.000000 32.893525 0.370000 5.244110
31110 33.613525 0.360000 1.000000 33.253525 -0.360000 5.247436
31120 33.613525 0.290000 1.000000 33.323525 -0.070000 5.250768
31130 33.613525 0.350000 1.000000 33.263525 0.060000 5.254094
31140 33.613525 0.340000 1.000000 33.273525 -0.010000 5.257422
31150 33.613525 0.350000 1.000000 33.263525 0.010000 5.260748
31170 33.613525 0.680000 1.000000 32.933525 0.330000 5.264042
31180 33.613525 0.350000 1.000000 33.263525 -0.330000 5.267368
31190 33.613525 0.340000 1.000000 33.273525 -0.010000 5.270695
31200 33.613525 0.370000 1.000000 33.243525 0.030000 5.274020
31210 33.613525 0.320000 1.000000 33.293525 -0.050000 5.277349
31220 33.613525 0.340000 1.000000 33.273525 0.020000 5.280676
31240 33.613525 0.690000 1.000000 32.923525 0.350000 5.283969
31250 33.613525 0.340000 1.000000 33.273525 -0.350000 5.287296
31260 33.613525 0.340000 1.000000 33.273525 0.000000 5.290623
31270 33.613525 0.350000 1.000000 33.263525 0.010000 5.293950
31280 33.613525 0.340000 1.000000 33.273525 -0.010000 5.297277
31290 33.613525 0.340000 1.000000 33.273525 0.000000 5.300604
31310 33.613525 0.740000 1.000000 32.873525 0.400000 5.303892
31320 33.613525 0.290000 1.000000 33.323525 -0.450000 5.307224
31330 33.613525 0.350000 1.000000 33.263525 0.060000 5.310550
31340 33.613525 0.340000 1.000000 33.273525 -0.010000 5.313878
31350 33.613525 0.340000 1.000000 33.273525 0.000000 5.317205
31370 33.613525 0.680000 1.000000 32.933525 0.340000 5.320499
31380 33.613525 0.340000 1.000000 33.273525 -0.340000 5.323826
31390 33.613525 0.350000 1.000000 33.263525 0.010000 5.327152
31400 33.613525 0.370000 1.000000 33.243525 0.020000 5.330477
31410 33.613525 0.310000 1.000000 33.303525 -0.060000 5.333807
31420 33.613525 0.340000 1.000000 33.273525 0.030000 5.337134
31440 33.613525 0.690000 1.000000 32.923525 0.350000 5.340427
31450 33.613525 0.340000 1.000000 33.273525 -0.350000 5.343754
31460 33.613525 0.340000 1.000000 33.273525 0.000000 5.347081
31470 33.613525 0.350000 1.000000 33.263525 0.010000 5.350408
31480 33.613525 0.340000 1.000000 33.273525 -0.010000 5.353735
31490 33.613525 0.340000 1.000000 33.273525 0.000000 5.357062
31510 33.613525 0.740000 1.000000 32.873525 0.400000 5.360350
31520 33.613525 0.280000 1.000000 33.333525 -0.460000 5.363683
31530 33.613525 0.350000 1.000000 33.263525 0.070000 5.367009
31540 33.613525 0.340000 1.000000 33.273525 -0.010000 5.370337
31550 33.613525 0.340000 1.000000 33.273525 0.000000 5.373664
31570 33.613525 0.780000 1.000000 32.833525 0.440000 5.376948
31580 33.613525 0.230000 1.000000 33.383525 -0.550000 5.380286
31590 33.613525 0.340000 1.000000 33.273525 0.110000 5.383613
31600 33.613525 0.360000 1.000000 33.253525 0.020000 5.386939
31610 33.613525 0.330000 1.000000 33.283525 -0.030000 5.390267
31630 33.613525 0.680000 1.000000 32.933525 0.350000 5.393560
31640 33.613525 0.340000 1.000000 33.273525 -0.340000 5.396888
31650 33.613525 0.340000 1.000000 33.273525 0.000000 5.400215
31660 33.613525 0.340000 1.000000 33.273525 0.000000 5.403542
31670 33.613525 0.350000 1.000000 33.263525 0.010000 5.406869
31680 33.613525 0.340000 1.000000 33.273525 -0.010000 5.410196
31700 33.613525 0.730000 1.000000 32.883525 0.390000 5.413484
31710 33.613525 0.370000 1.000000 33.243525 -0.360000 5.416809
31720 33.613525 0.270000 1.000000 33.343525 -0.100000 5.420143
